date,store,day_of_week,is_weekend,month,temp_c,customers,hot_drinks,iced_drinks,pastries,revenue,staff_on_shift,avg_rating,promo
2025-01-01,Bondi,Wednesday,False,Jan,30.8,189,26,124,69,1259.92,5,4.28,yes
2025-01-02,Bondi,Thursday,False,Jan,32.6,131,12,97,55,958.09,3,4.43,no
2025-01-03,Bondi,Friday,False,Jan,30.3,161,22,101,47,1000.17,3,3.75,no
2025-01-04,Bondi,Saturday,True,Jan,29.7,200,48,108,84,1356.17,4,4.4,no
2025-01-05,Bondi,Sunday,True,Jan,30.1,232,40,145,80,1539.69,5,4.6,no
2025-01-06,Bondi,Monday,False,Jan,29.2,149,40,75,61,974.03,4,4.53,no
2025-01-07,Bondi,Tuesday,False,Jan,31.9,182,40,110,74,1236.81,4,4.23,no
2025-01-08,Bondi,Wednesday,False,Jan,29.8,164,25,99,67,1099.68,4,4.15,no
2025-01-09,Bondi,Thursday,False,Jan,32.5,161,32,111,77,1225.96,4,4.43,no
2025-01-10,Bondi,Friday,False,Jan,28.5,187,53,96,82,1260.61,4,3.93,no
2025-01-11,Bondi,Saturday,True,Jan,34.8,259,30,179,104,1865.28,6,4.09,no
2025-01-12,Bondi,Sunday,True,Jan,30.9,219,46,132,85,1504.38,5,3.94,no
2025-01-13,Bondi,Monday,False,Jan,34.0,161,36,105,65,1234.0,4,4.17,no
2025-01-14,Bondi,Tuesday,False,Jan,34.3,211,23,146,85,1462.34,5,4.2,no
2025-01-15,Bondi,Wednesday,False,Jan,33.7,165,14,121,65,1121.44,3,4.51,yes
2025-01-16,Bondi,Thursday,False,Jan,29.5,175,45,105,73,1293.92,4,4.1,no
2025-01-17,Bondi,Friday,False,Jan,29.8,144,31,82,56,956.73,2,4.26,no
2025-01-18,Bondi,Saturday,True,Jan,33.7,233,27,159,106,1717.32,6,4.9,no
2025-01-19,Bondi,Sunday,True,Jan,31.9,230,39,153,89,1629.65,4,4.23,no
2025-01-20,Bondi,Monday,False,Jan,31.3,156,31,102,62,1130.1,4,4.17,no
2025-01-21,Bondi,Tuesday,False,Jan,29.7,171,40,100,53,1125.69,3,4.08,no
2025-01-22,Bondi,Wednesday,False,Jan,29.5,170,30,95,56,1073.8,4,3.97,no
2025-01-23,Bondi,Thursday,False,Jan,27.0,197,61,92,79,1261.45,5,4.58,no
2025-01-24,Bondi,Friday,False,Jan,31.5,181,33,116,67,1261.9,3,4.5,no
2025-01-25,Bondi,Saturday,True,Jan,28.1,229,55,134,82,1563.25,5,4.26,no
2025-01-26,Bondi,Sunday,True,Jan,25.0,225,66,96,72,1270.09,4,4.51,no
2025-01-27,Bondi,Monday,False,Jan,30.7,184,20,112,71,1192.04,4,4.38,no
2025-01-28,Bondi,Tuesday,False,Jan,28.6,138,31,75,49,907.98,4,4.18,no
2025-01-29,Bondi,Wednesday,False,Jan,33.1,177,17,127,73,1321.11,4,4.13,no
2025-01-30,Bondi,Thursday,False,Jan,33.9,171,36,117,53,1202.29,4,3.97,no
2025-01-31,Bondi,Friday,False,Jan,31.5,143,18,95,37,861.68,3,4.47,no
2025-02-01,Bondi,Saturday,True,Feb,30.7,230,54,140,88,1618.55,5,4.0,yes
2025-02-02,Bondi,Sunday,True,Feb,28.8,249,52,142,97,1651.46,6,4.11,yes
2025-02-03,Bondi,Monday,False,Feb,26.6,188,40,91,69,1126.43,4,3.98,no
2025-02-04,Bondi,Tuesday,False,Feb,39.5,141,0,123,55,1019.8,2,4.41,no
2025-02-05,Bondi,Wednesday,False,Feb,34.5,151,39,110,50,1121.6,3,4.28,no
2025-02-06,Bondi,Thursday,False,Feb,30.7,150,49,93,68,1116.25,3,4.05,no
2025-02-07,Bondi,Friday,False,Feb,29.9,198,43,123,76,1385.99,5,4.66,no
2025-02-08,Bondi,Saturday,True,Feb,29.4,243,50,142,85,1573.75,5,3.51,no
