listing_id,make,model,year,odometer_km,fuel_type,transmission,price,listed_date,sold_date,dealer_id,seller_rating,views
L3079,Ford,Ranger,2015,"147,858 km",petrol,automatic,"$13,762",24/11/2025,,D124,3.9,5
L3157,Hyundai,Tucson,2013,134781,Diesel,AUTO,"$5,708",2026-01-17,2026-03-29,D114,4.1,191
L3149,Ford,Focus,2014,132302,petrol,automatic,"$4,000",2026-01-02,,D105,4.0,376
L3187,Volkswagen,Golf,2021,34136,petrol,Automatic,"$16,734",2025-02-23,2025-04-20,D113,3.8,-99
L3054,mazda,Mazda3,2022,"46,365 km",Petrol,auto,"$19,442",29-Mar-2025,,D115,3.8,443
L3020,Toyota,Corolla,2011,"165,786 km",petrol,automatic,"$4,000",2025-12-05,2025-12-17,D101,4.8,371
L3033,Mazda,CX-5,2021,"26,043 km",Unleaded,automatic,"$16,915",2025-09-15,2026-01-04,D115,4.2,316
L3017,Ford,Focus,2014,121005,hybrid,manual,"$6,164",02-May-2026,2026-08-20,D118,4.6,385
L3148,Volkswagen,Golf,2012,-1,petrol,manual,"4,000 AUD",2025-06-07,2025-10-04,D115,3.5,343
L3134,Ford,Focus,2012,174594,petrol ,automatic,"$5,778",2026-01-04,2026-01-28,D109,3.7,236
L3070,Ford,Focus,2013,168943,hybrid,automatic,"$7,279",2025-10-09,,D110,4.7,550
L3008,Mazda,CX-5,2019,75789,diesel,automatic,"$15,191",2025-08-14,,D107,3.5,151
L3184,Ford,Ranger,2020,"66,833 km",diesel,auto,"$17,001",01-Apr-2025,2025-04-07,D114,4.8,139
L3131,hyundai,Tucson,2014,100507,petrol,automatic,"4,000 AUD",2025/10/30,2025-12-30,D118,4.6,394
L3150,Toyota,RAV4,2013,189682,PETROL,AUTOMATIC,"$4,000",2025/01/01,2025-03-15,D105,3.9,588
L3190,Hyundai,Tucson,2023,42950,petrol ,AUTOMATIC,"$16,199",2025-09-24,2025-11-23,D107,4.4,78
L3062,Mazda,CX-5,2014,98388,hyb,Automatic,"4,000 AUD",-,2025-08-16,D115,4.3,426
L3041,Mazda,CX-5,2019,84839,diesel,automatic,"$11,604",2025-10-16,,D109,4.1,366
L3045,Mazda,Mazda3,2014,unknown,Electric,Automatic,,2026-06-14,2026-09-28,D118,4.1,458
L3183,Volkswagen,Polo,2024,29101,petrol,automatic,"$26,414",2025-03-19,2025-06-18,D115,4.9,204
L3012,Toyota,Corolla,2020,unknown,Unleaded,MANUAL,"$16,839",2025-09-22,2025-12-15,D122,3.7,--
L3068,Toyota,Camry,2011,"194,563 km",Petrol,AUTOMATIC,"$4,000",2026/05/25,2026-08-28,D105,4.4,250
L3158,VOLKSWAGEN,Polo,2015,"144,662 km",EV,manual,"$7,870",2025-01-24,2025-02-04,D101,4.8,494
L3053,Toyota,RAV4,2010,211569,diesel,automatic,,2025-03-15,,D113,4.8,624
L3141,ford,Ranger,2015,147373,diesel,automatic,"9,010 AUD",2026-04-11,2026-07-02,D101,3.1,7
L3073,Kia,Cerato,2020,"69,139 km",Diesel,AUTOMATIC,"$11,867",2025/11/28,2026-01-18,D100,4.8,569
L3173,Kia,Sportage,2012,"171,129 km",DIESEL,auto,"$4,000",2025-05-08,2025-05-30,D100,3.3,152
L3178,MAZDA,CX-5,2023,8907,petrol,man,"$21,927",24-May-2026,2026-09-13,D108,3.8,392
L3130,kia,Sportage,2019,"68,691 km",petrol,automatic,"11,087 AUD",2025-10-19,2025-11-09,D101,4.1,381
L3136,Hyundai,i30,2015,124404,Electric,automatic,,2026-01-31,2026-02-21,D114,3.8,146
L3190,Hyundai,Tucson,2023,42950,petrol ,AUTOMATIC,"$16,199",2025-09-24,2025-11-23,D107,4.4,78
L3095,Mazda,CX-5,2018,128483,diesel,manual,"$13,680",22/05/2025,2025-08-16,D120,4.1,77
L3077,HYUNDAI,Tucson,2011,186635,?,automatic,"4,000 AUD",2025-02-02,2025-03-21,D123,5.0,172
L3117,volkswagen,Polo,2012,"184,454 km",Petrol,automatic,,20-Feb-2026,2026-05-03,D110,4.0,308
L3010,KIA,Sportage,2013,155048,Electric,manual,"$4,000",2025-02-22,,D124,4.2,229
L3074,Mazda,Mazda3,2011,209068,hyb,AUTO,"$4,000",27-Jan-2026,2026-02-20,D107,4.2,102
L3163,Ford,Focus,2015,127947,electric,Automatic,"$13,973",22/03/2026,,D112,4.3,498
L3036,Mazda,CX-5,2021,69022,hybrid,automatic,"$13,721",16/06/2026,,D100,4.5,624
L3056,Volkswagen,Polo,2022,49945,PETROL,MANUAL,"$16,727",2025-02-22,2025-05-17,D124,5.0,158
L3164,Toyota,RAV4,1900,157253,Petrol,automatic,"$4,000",2025-07-06,,D103,4.8,621
L3055,Ford,Focus,2015,149027,Unleaded,AUTO,"$7,443",2025-05-30,2025-06-29,D108,4.0,578
L3100,Ford,Focus,2020,unknown,petrol,automatic,"$17,748",2026-04-26,2026-08-01,D100,3.4,429
L3091,toyota,Corolla,2024,16932,PETROL,automatic,"27,757 AUD",06-Jan-2026,2026-01-27,D117,5.0,701
L3022,mazda,CX-5,1900,243962,diesel,automatic,"$4,000",-,2026-06-30,D116,4.6,157
L3010,KIA,Sportage,2013,155048,Electric,manual,"$4,000",2025-02-22,,D124,4.2,229
L3073,Kia,Cerato,2020,"69,139 km",Diesel,AUTOMATIC,"$11,867",2025/11/28,2026-01-18,D100,4.8,569
L3161,ford,Focus,2017,74438,petrol,automatic,"$14,065",2025-05-16,2025-08-05,D118,4.3,127
L3179,MAZDA,Mazda3,2023,31321,petrol,auto,"$20,559",2025-07-19,2025-09-02,D111,4.1,293
L3147, Toyota ,RAV4,2016,unknown,petrol,automatic,"4,461 AUD",2025-06-04,2025-08-05,D123,4.0,416
L3071,Mazda,Mazda3,2015,129420,HYBRID,manual,"$4,512",2025/02/05,2025-03-22,D124,3.3,267
L3030,Ford,Focus,2016,128484,diesel,automatic,"$10,820",2025-08-03,2025-09-22,D109,4.8,502
L3102,Hyundai,i30,2018,114930,diesel,automatic,"$9,703",2026-04-27,,D108,2.8,441
L3002,Toyota,RAV4,2024,38047,petrol,automatic,"23,759 AUD",2025/03/03,,D116,4.5,78
L3114,Volkswagen,Golf,2023,38650,?,AUTO,"21,622 AUD",2025/05/09,2025-06-15,D116,0,455
L3089,Toyota,RAV4,2021,"107,070 km",petrol,AUTOMATIC,"$13,951",26-Nov-2025,2026-02-11,D106,3.9,210
L3021,Mazda,Mazda3,2015,131621,Unleaded,auto,"$6,221",2025-03-30,,D106,4.0,258
L3043,Mazda,Mazda3,2022,"35,989 km",Unleaded,Manual,"22,801 AUD",13/10/2025,2025-10-17,D115,5.0,417
L3037,HYUNDAI,Tucson,2023,22206,hybrid,automatic,"$20,273",2025-06-04,2025-08-08,D108,5.0,318
L3096, Toyota ,Corolla,2010,"176,540 km",DIESEL,MANUAL,"$4,000",2026-04-27,,D119,0,471
L3108,Ford,Ranger,2020,54459,Diesel,Manual,"$22,379",2025-08-08,2025-09-04,D106,3.9,514
L3125,Hyundai,Tucson,2023,73131,petrol,automatic,"$18,996",2025/01/01,2025-04-29,D121,4.0,415
L3084,Volkswagen,Polo,2024,500 km,Petrol,automatic,"$26,244",2025-06-11,2025-08-26,D120,4.9,469
L3085,Toyota,Corolla,2018,131913,hybrid,automatic,"$15,576",2026-04-14,2026-04-30,D117,4.8,429
L3139,Kia,Cerato,2011,200292,hyb,automatic,"$4,000",19/03/2026,,D119,4.8,278
L3061,kia,Cerato,2013,"180,962 km",PETROL,manual,"$4,000",2026-05-12,2026-08-06,D116,4.1,508
L3125,Hyundai,Tucson,2023,73131,petrol,automatic,"$18,996",2025/01/01,2025-04-29,D121,4.0,415
L3080,FORD,Focus,2012,"110,310 km",petrol,automatic,"$5,748",2025/03/14,2025-05-14,D107,4.9,413
L3013,Toyota,RAV4,2017,106622,petrol ,Manual,"$16,364",04-Dec-2025,,D106,5.0,406
L3143,Hyundai,i30,2013,134399,PETROL,automatic,"$4,000",2025-09-21,,D114,4.4,5
L3048,Mazda,CX-5,2015,"157,364 km",petrol,automatic,"$6,483",2025-12-20,,D114,4.4,323
L3189, Mazda ,Mazda3,2016,102045,Unleaded,automatic,"$6,121",2025-04-03,2025-06-17,D121,4.6,142
L3142,KIA,Sportage,2024,15449,DIESEL,man,"$23,939",2026/01/25,,D923,2.7,332
L3195,Kia,Sportage,2017,115311,?,AUTOMATIC,"$7,622",2025-08-24,2025-10-25,D122,4.8,366
L3015,Volkswagen,Golf,2013,162981,Unleaded,manual,"$4,000",2025/12/08,,D106,3.5,310
